"Dia","Mes","Ano","Caudal_Diario","date","chirps","chirts","viento","humedad","lon.x","lat.x","lon.y","lat.y","caudal_lag_1m","caudal_lag_2m","caudal_lag_3m","caudal_lag_4m","caudal_lag_5m","caudal_lag_6m","temp_lag_2m","temp_lag_3m","temp_lag_4m","temp_lag_5m","temp_lag_6m","prep_lag_1m","prep_lag_2m","prep_lag_3m","prep_lag_4m","prep_lag_5m","prep_lag_6m","NINO3.4"
9,5,1987,43.1,1987-05-09,4.38140630722046,24.1755609512329,-2.699997,0.018700004,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,18.7,14.9,13.8,19.9,38.8,NA,23.8208703994751,21.9496746063232,23.3637752532959,22.3053503036499,21.7275819778442,0,0,27.6725406646729,12.3524713516235,7.73430490493774,48.2108879089355,28.56
10,5,1987,43.1,1987-05-10,8.76281261444092,24.836109161377,-2.800003,0.01880002,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,18.7,19.3,13.8,19.5,38,71.5,23.5507335662842,23.8208703994751,21.9496746063232,23.3637752532959,22.3053503036499,4.38140630722046,0,0,27.6725406646729,12.3524713516235,7.73430490493774,28.56
11,5,1987,36.6,1987-05-11,13.2720909118652,24.1290969848633,-2.199997,0.018900007,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,18.7,16.9,13.7,19.3,37.1,84.6,24.1755609512329,23.5507335662842,23.8208703994751,21.9496746063232,23.3637752532959,8.76281261444092,4.38140630722046,0,0,27.6725406646729,12.3524713516235,28.56
12,5,1987,36.6,1987-05-12,0,22.6607694625854,-2.699997,0.018700004,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,18.7,14.6,13.6,19,36.2,68.9,24.836109161377,24.1755609512329,23.5507335662842,23.8208703994751,21.9496746063232,13.2720909118652,8.76281261444092,4.38140630722046,0,0,27.6725406646729,28.56
13,5,1987,32.5,1987-05-13,10.8872680664062,22.6756830215454,-1.300003,0.018600017,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,18.7,16.2,13.5,18.8,35.5,73.2,24.1290969848633,24.836109161377,24.1755609512329,23.5507335662842,23.8208703994751,0,13.2720909118652,8.76281261444092,4.38140630722046,0,0,28.56
14,5,1987,31.7,1987-05-14,9.69485664367676,22.0517148971558,-1.699997,0.01910001,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,15.8,14,13.4,18.5,34.6,69.3,22.6607694625854,24.1290969848633,24.836109161377,24.1755609512329,23.5507335662842,10.8872680664062,0,13.2720909118652,8.76281261444092,4.38140630722046,0,28.56
15,5,1987,31.7,1987-05-15,28.0945796966553,22.1127529144287,-0.30000305,0.019200027,-82.7118375207178,9.16966476531875,-83.2033280149302,8.76156005357074,15.8,14.2,13.2,18,34,61.6,22.6756830215454,22.6607694625854,24.1290969848633,24.836109161377,24.1755609512329,9.69485664367676,10.8872680664062,0,13.2720909118652,8.76281261444092,4.38140630722046,28.56
16,5,1987,31.7,1987-05-16,17.9780931472778,22.393102645874,-1.199997,0.018900007,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,14.9,12.3,13.1,17.9,33,60.5,22.0517148971558,22.6756830215454,22.6607694625854,24.1290969848633,24.836109161377,28.0945796966553,9.69485664367676,10.8872680664062,0,13.2720909118652,8.76281261444092,28.56
17,5,1987,30.5,1987-05-17,4.75578594207764,22.8893089294434,-2,0.018900007,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,14.9,11.6,13,17.6,32.2,57.6,22.1127529144287,22.0517148971558,22.6756830215454,22.6607694625854,24.1290969848633,17.9780931472778,28.0945796966553,9.69485664367676,10.8872680664062,0,13.2720909118652,28.56
18,5,1987,30.5,1987-05-18,8.46652126312256,23.2841129302979,-2.0999908,0.018900007,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,14.9,11.6,13,17.3,31.5,64.8,22.393102645874,22.1127529144287,22.0517148971558,22.6756830215454,22.6607694625854,4.75578594207764,17.9780931472778,28.0945796966553,9.69485664367676,10.8872680664062,0,28.56
19,5,1987,31.9,1987-05-19,13.2223072052002,22.1316614151001,-2.0999908,0.019300014,-82.7118375207178,9.16966476531875,-83.2033280149302,8.76156005357074,14.9,11.2,12.9,17.1,30.7,60.8,22.8893089294434,22.393102645874,22.1127529144287,22.0517148971558,22.6756830215454,8.46652126312256,4.75578594207764,17.9780931472778,28.0945796966553,9.69485664367676,10.8872680664062,28.56
20,5,1987,43.7,1987-05-20,31.200400352478,23.605393409729,-1.300003,0.018700004,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,16.3,10.9,12.8,17,30,59.7,23.2841129302979,22.8893089294434,22.393102645874,22.1127529144287,22.0517148971558,13.2223072052002,8.46652126312256,4.75578594207764,17.9780931472778,28.0945796966553,9.69485664367676,28.56
21,5,1987,54,1987-05-21,32.6728467941284,22.2126836776733,-1.300003,0.018900007,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,25.4,11,12.8,16.9,29.1,64.5,22.1316614151001,23.2841129302979,22.8893089294434,22.393102645874,22.1127529144287,31.200400352478,13.2223072052002,8.46652126312256,4.75578594207764,17.9780931472778,28.0945796966553,28.56
22,5,1987,67,1987-05-22,45.2683258056641,22.4333419799805,-1,0.01880002,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,17.7,11.2,12.8,16.5,29,56,23.605393409729,22.1316614151001,23.2841129302979,22.8893089294434,22.393102645874,32.6728467941284,31.200400352478,13.2223072052002,8.46652126312256,4.75578594207764,17.9780931472778,28.56
23,5,1987,47.2,1987-05-23,8.74801516532898,23.4911060333252,-1,0.018100023,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,20,11.6,12.6,16.5,28.5,52.9,22.2126836776733,23.605393409729,22.1316614151001,23.2841129302979,22.8893089294434,45.2683258056641,32.6728467941284,31.200400352478,13.2223072052002,8.46652126312256,4.75578594207764,28.56
24,5,1987,41.8,1987-05-24,1.24385213851929,20.952898979187,-1.699997,0.01820001,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,22.6,14.9,12.5,16.1,27.8,52.9,22.4333419799805,22.2126836776733,23.605393409729,22.1316614151001,23.2841129302979,8.74801516532898,45.2683258056641,32.6728467941284,31.200400352478,13.2223072052002,8.46652126312256,28.56
25,5,1987,44.7,1987-05-25,4.0538182258606,23.9388093948364,-0.8999939,0.018400013,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,35.3,14.9,12.4,16,27.2,54.2,23.4911060333252,22.4333419799805,22.2126836776733,23.605393409729,22.1316614151001,1.24385213851929,8.74801516532898,45.2683258056641,32.6728467941284,31.200400352478,13.2223072052002,28.56
26,5,1987,51.8,1987-05-26,31.0241575241089,24.3548231124878,1,0.019000024,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,35.4,14.9,12.3,15.9,26.5,57.1,20.952898979187,23.4911060333252,22.4333419799805,22.2126836776733,23.605393409729,4.0538182258606,1.24385213851929,8.74801516532898,45.2683258056641,32.6728467941284,31.200400352478,28.56
27,5,1987,44.9,1987-05-27,14.7771453857422,22.5941801071167,0.30000305,0.01790002,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,27.1,14.9,12.2,15.8,25.8,74.1,23.9388093948364,20.952898979187,23.4911060333252,22.4333419799805,22.2126836776733,31.0241575241089,4.0538182258606,1.24385213851929,8.74801516532898,45.2683258056641,32.6728467941284,28.56
28,5,1987,52.9,1987-05-28,2.62883329391479,22.8937454223633,0.69999695,0.01820001,-82.7118375207178,9.16966476531875,-83.2033280149302,8.76156005357074,27.1,14.9,12.2,15.5,25.3,70.1,24.3548231124878,23.9388093948364,20.952898979187,23.4911060333252,22.4333419799805,14.7771453857422,31.0241575241089,4.0538182258606,1.24385213851929,8.74801516532898,45.2683258056641,28.56
29,5,1987,39.2,1987-05-29,11.2457990646362,24.3236751556396,-0.099990845,0.017200023,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,22.7,14,12,15.3,24.8,65.4,22.5941801071167,24.3548231124878,23.9388093948364,20.952898979187,23.4911060333252,2.62883329391479,14.7771453857422,31.0241575241089,4.0538182258606,1.24385213851929,8.74801516532898,28.56
30,5,1987,36.6,1987-05-30,14.8709049224854,26.1908102035522,0.1000061,0.017800033,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,26.4,14,12,15.2,24.3,54.5,22.8937454223633,22.5941801071167,24.3548231124878,23.9388093948364,20.952898979187,11.2457990646362,2.62883329391479,14.7771453857422,31.0241575241089,4.0538182258606,1.24385213851929,28.56
31,5,1987,36.6,1987-05-31,10.9592311382294,24.6362457275391,-1,0.018700004,-82.7118375207178,9.16966476531875,-82.7118375207178,9.16966476531875,40.1,13.2,12,15,23.5,47.2,24.3236751556396,22.8937454223633,22.5941801071167,24.3548231124878,23.9388093948364,14.8709049224854,11.2457990646362,2.62883329391479,14.7771453857422,31.0241575241089,4.0538182258606,28.56
1,6,1987,36.6,1987-06-01,6.84067463874817,25.0629396438599,-0.30000305,0.018600017,-82.7118375207178,9.16966476531875,-83.2033280149302,8.76156005357074,63.5,12.5,11.9,14.8,23,45.8,26.1908102035522,24.3236751556396,22.8937454223633,22.5941801071167,24.3548231124878,10.9592311382294,14.8709049224854,11.2457990646362,2.62883329391479,14.7771453857422,31.0241575241089,28.65
2,6,1987,43.4,1987-06-02,9.77446103096008,31.2136220932007,0.30000305,0.018400013,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,60.4,30.2,11.9,14.8,22.5,44,24.6362457275391,26.1908102035522,24.3236751556396,22.8937454223633,22.5941801071167,6.84067463874817,10.9592311382294,14.8709049224854,11.2457990646362,2.62883329391479,14.7771453857422,28.65
3,6,1987,89.1,1987-06-03,36.3721590042114,31.5996379852295,0.30000305,0.01880002,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,65.3,18.7,12.5,14.5,22,43.1,25.0629396438599,24.6362457275391,26.1908102035522,24.3236751556396,22.8937454223633,9.77446103096008,6.84067463874817,10.9592311382294,14.8709049224854,11.2457990646362,2.62883329391479,28.65
4,6,1987,78.7,1987-06-04,5.86807513237,31.9154825210571,0,0.018700004,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,84,20.4,18.2,14.3,21.6,42.2,31.2136220932007,25.0629396438599,24.6362457275391,26.1908102035522,24.3236751556396,36.3721590042114,9.77446103096008,6.84067463874817,10.9592311382294,14.8709049224854,11.2457990646362,28.65
5,6,1987,67,1987-06-05,5.38758301734924,32.4744777679443,0.6000061,0.01880002,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,72.3,26.1,14.9,14.2,21,41.4,31.5996379852295,31.2136220932007,25.0629396438599,24.6362457275391,26.1908102035522,5.86807513237,36.3721590042114,9.77446103096008,6.84067463874817,10.9592311382294,14.8709049224854,28.65
6,6,1987,86.3,1987-06-06,28.1306385993958,32.7332954406738,0,0.018900007,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,80.2,22.7,16,14,20.6,40.5,31.9154825210571,31.5996379852295,31.2136220932007,25.0629396438599,24.6362457275391,5.38758301734924,5.86807513237,36.3721590042114,9.77446103096008,6.84067463874817,10.9592311382294,28.65
7,6,1987,93.4,1987-06-07,14.7018001079559,32.1231698989868,-0.80000305,0.018600017,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,54.7,20.7,20.9,13.9,20.2,39.5,32.4744777679443,31.9154825210571,31.5996379852295,31.2136220932007,25.0629396438599,28.1306385993958,5.38758301734924,5.86807513237,36.3721590042114,9.77446103096008,6.84067463874817,28.65
8,6,1987,87,1987-06-08,12.132958650589,30.5915203094482,-1,0.018600017,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,43.1,18.7,14.9,13.8,19.9,38.8,32.7332954406738,32.4744777679443,31.9154825210571,31.5996379852295,31.2136220932007,14.7018001079559,28.1306385993958,5.38758301734924,5.86807513237,36.3721590042114,9.77446103096008,28.65
9,6,1987,77.4,1987-06-09,9.99269151687622,31.7977361679077,0.5,0.01850003,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,43.1,18.7,19.3,13.8,19.5,38,32.1231698989868,32.7332954406738,32.4744777679443,31.9154825210571,31.5996379852295,12.132958650589,14.7018001079559,28.1306385993958,5.38758301734924,5.86807513237,36.3721590042114,28.65
10,6,1987,65.8,1987-06-10,16.6232600212097,32.5357398986816,-1,0.019500017,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,36.6,18.7,16.9,13.7,19.3,37.1,30.5915203094482,32.1231698989868,32.7332954406738,32.4744777679443,31.9154825210571,9.99269151687622,12.132958650589,14.7018001079559,28.1306385993958,5.38758301734924,5.86807513237,28.65
11,6,1987,60.3,1987-06-11,6.5573513507843,32.389554977417,0.69999695,0.018900007,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,36.6,18.7,14.6,13.6,19,36.2,31.7977361679077,30.5915203094482,32.1231698989868,32.7332954406738,32.4744777679443,16.6232600212097,9.99269151687622,12.132958650589,14.7018001079559,28.1306385993958,5.38758301734924,28.65
12,6,1987,64.1,1987-06-12,5.45108199119568,31.5020456314087,0.19999695,0.01910001,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,32.5,18.7,16.2,13.5,18.8,35.5,32.5357398986816,31.7977361679077,30.5915203094482,32.1231698989868,32.7332954406738,6.5573513507843,16.6232600212097,9.99269151687622,12.132958650589,14.7018001079559,28.1306385993958,28.65
13,6,1987,57.5,1987-06-13,12.0757446289062,31.628529548645,-1,0.019000024,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,31.7,15.8,14,13.4,18.5,34.6,32.389554977417,32.5357398986816,31.7977361679077,30.5915203094482,32.1231698989868,5.45108199119568,6.5573513507843,16.6232600212097,9.99269151687622,12.132958650589,14.7018001079559,28.65
14,6,1987,71.8,1987-06-14,38.0916805267334,32.1291646957397,-0.5,0.01850003,-83.2033280149302,8.76156005357074,-82.7118375207178,9.16966476531875,31.7,15.8,14.2,13.2,18,34,31.5020456314087,32.389554977417,32.5357398986816,31.7977361679077,30.5915203094482,12.0757446289062,5.45108199119568,6.5573513507843,16.6232600212097,9.99269151687622,12.132958650589,28.65
15,6,1987,106,1987-06-15,7.16560792922974,31.1868600845337,0.80000305,0.01790002,-83.2033280149302,8.76156005357074,-82.7118375207178,9.16966476531875,31.7,14.9,12.3,13.1,17.9,33,31.628529548645,31.5020456314087,32.389554977417,32.5357398986816,31.7977361679077,38.0916805267334,12.0757446289062,5.45108199119568,6.5573513507843,16.6232600212097,9.99269151687622,28.65
16,6,1987,83.5,1987-06-16,5.87376761436462,31.0907707214355,0,0.018100023,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,30.5,14.9,11.6,13,17.6,32.2,32.1291646957397,31.628529548645,31.5020456314087,32.389554977417,32.5357398986816,7.16560792922974,38.0916805267334,12.0757446289062,5.45108199119568,6.5573513507843,16.6232600212097,28.65
17,6,1987,77.3,1987-06-17,7.65780806541443,30.8917217254639,0.6000061,0.01880002,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,30.5,14.9,11.6,13,17.3,31.5,31.1868600845337,32.1291646957397,31.628529548645,31.5020456314087,32.389554977417,5.87376761436462,7.16560792922974,38.0916805267334,12.0757446289062,5.45108199119568,6.5573513507843,28.65
18,6,1987,68.1,1987-06-18,12.4532089233398,31.0258131027222,0.19999695,0.018700004,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,31.9,14.9,11.2,12.9,17.1,30.7,31.0907707214355,31.1868600845337,32.1291646957397,31.628529548645,31.5020456314087,7.65780806541443,5.87376761436462,7.16560792922974,38.0916805267334,12.0757446289062,5.45108199119568,28.65
19,6,1987,57.6,1987-06-19,12.4805326461792,31.6248388290405,0,0.018400013,-83.2033280149302,8.76156005357074,-82.7118375207178,9.16966476531875,43.7,16.3,10.9,12.8,17,30,30.8917217254639,31.0907707214355,31.1868600845337,32.1291646957397,31.628529548645,12.4532089233398,7.65780806541443,5.87376761436462,7.16560792922974,38.0916805267334,12.0757446289062,28.65
20,6,1987,57.3,1987-06-20,21.6460738182068,32.3969421386719,0.19999695,0.019800007,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,54,25.4,11,12.8,16.9,29.1,31.0258131027222,30.8917217254639,31.0907707214355,31.1868600845337,32.1291646957397,12.4805326461792,12.4532089233398,7.65780806541443,5.87376761436462,7.16560792922974,38.0916805267334,28.65
21,6,1987,58.4,1987-06-21,15.0000247955322,31.8710336685181,-0.59999084,0.018900007,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,67,17.7,11.2,12.8,16.5,29,31.6248388290405,31.0258131027222,30.8917217254639,31.0907707214355,31.1868600845337,21.6460738182068,12.4805326461792,12.4532089233398,7.65780806541443,5.87376761436462,7.16560792922974,28.65
22,6,1987,64.8,1987-06-22,13.0177850723267,32.0983591079712,0.19999695,0.018400013,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,47.2,20,11.6,12.6,16.5,28.5,32.3969421386719,31.6248388290405,31.0258131027222,30.8917217254639,31.0907707214355,15.0000247955322,21.6460738182068,12.4805326461792,12.4532089233398,7.65780806541443,5.87376761436462,28.65
23,6,1987,76.7,1987-06-23,11.3905625343323,31.4831466674805,0.19999695,0.01850003,-83.2033280149302,8.76156005357074,-82.7118375207178,9.16966476531875,41.8,22.6,14.9,12.5,16.1,27.8,31.8710336685181,32.3969421386719,31.6248388290405,31.0258131027222,30.8917217254639,13.0177850723267,15.0000247955322,21.6460738182068,12.4805326461792,12.4532089233398,7.65780806541443,28.65
