"Dia","Mes","Ano","Caudal_Diario","date","chirps","chirts","viento","humedad","lon.x","lat.x","lon.y","lat.y","caudal_lag_1m","caudal_lag_2m","caudal_lag_3m","caudal_lag_4m","caudal_lag_5m","caudal_lag_6m","temp_lag_2m","temp_lag_3m","temp_lag_4m","temp_lag_5m","temp_lag_6m","prep_lag_1m","prep_lag_2m","prep_lag_3m","prep_lag_4m","prep_lag_5m","prep_lag_6m","NINO3.4"
20,3,1983,2.83,1983-03-20,0,22.485671043396,-2.5,0.020400017,-84.3401607513215,10.1932754810708,-84.5999339167427,10.0110108890949,3.18,7.34,NA,NA,NA,NA,23.2502012252808,29.6269807815552,31.9016981124878,32.1429672241211,32.1323432922363,0,0,5.74072456359863,0,0,0,28.66
21,3,1983,2.74,1983-03-21,0,23.7153253555298,2,0.019900024,-84.3401607513215,10.1932754810708,-84.3401607513215,10.1932754810708,3.18,7.08,NA,NA,NA,NA,22.6464233398438,23.2502012252808,29.6269807815552,31.9016981124878,32.1429672241211,0,0,0,5.74072456359863,0,0,28.66
22,3,1983,2.66,1983-03-22,0,24.1052417755127,4.300003,0.021000028,-84.3401607513215,10.1932754810708,-84.3401607513215,10.1932754810708,3.09,6.34,NA,NA,NA,NA,22.485671043396,22.6464233398438,23.2502012252808,29.6269807815552,31.9016981124878,0,0,0,0,5.74072456359863,0,28.66
23,3,1983,2.49,1983-03-23,0,22.047682762146,-2.5999908,0.020400017,-84.3401607513215,10.1932754810708,-84.5999339167427,10.0110108890949,3.09,6.1,NA,NA,NA,NA,23.7153253555298,22.485671043396,22.6464233398438,23.2502012252808,29.6269807815552,0,0,0,0,0,5.74072456359863,28.66
24,3,1983,2.49,1983-03-24,7.83948636054993,20.2169380187988,-3.5,0.020200014,-84.3401607513215,10.1932754810708,-84.5999339167427,10.0110108890949,3.09,5.64,NA,NA,NA,NA,24.1052417755127,23.7153253555298,22.485671043396,22.6464233398438,23.2502012252808,0,0,0,0,0,0,28.66
25,3,1983,2.49,1983-03-25,5.22632455825806,20.4552516937256,-1.300003,0.019200027,-84.3401607513215,10.1932754810708,-84.5999339167427,10.0110108890949,3.09,5.42,NA,NA,NA,NA,22.047682762146,24.1052417755127,23.7153253555298,22.485671043396,22.6464233398438,7.83948636054993,0,0,0,0,0,28.66
26,3,1983,2.49,1983-03-26,0,21.9116535186768,-3.800003,0.01940003,-84.3401607513215,10.1932754810708,-84.5999339167427,10.0110108890949,2.98,5.19,NA,NA,NA,NA,20.2169380187988,22.047682762146,24.1052417755127,23.7153253555298,22.485671043396,5.22632455825806,7.83948636054993,0,0,0,0,28.66
27,3,1983,2.49,1983-03-27,2.69938778877258,26.0623378753662,-3.0999908,0.019300014,-84.3401607513215,10.1932754810708,-84.3401607513215,10.1932754810708,3.27,5.42,NA,NA,NA,NA,20.4552516937256,20.2169380187988,22.047682762146,24.1052417755127,23.7153253555298,0,5.22632455825806,7.83948636054993,0,0,0,28.66
28,3,1983,2.49,1983-03-28,2.69938778877258,26.1356172561646,-3.399994,0.019600004,-84.3401607513215,10.1932754810708,-84.5999339167427,10.0110108890949,3.27,4.76,NA,NA,NA,NA,21.9116535186768,20.4552516937256,20.2169380187988,22.047682762146,24.1052417755127,2.69938778877258,0,5.22632455825806,7.83948636054993,0,0,28.66
29,3,1983,2.49,1983-03-29,0,25.2765579223633,-3.300003,0.01910001,-84.3401607513215,10.1932754810708,-84.5999339167427,10.0110108890949,3.18,4.55,NA,NA,NA,NA,26.0623378753662,21.9116535186768,20.4552516937256,20.2169380187988,22.047682762146,2.69938778877258,2.69938778877258,0,5.22632455825806,7.83948636054993,0,28.66
