Dia,Mes,Ano,Caudal_Diario
24,FEB,1957,4.9
25,FEB,1957,4.9
26,FEB,1957,4.9
27,FEB,1957,4.9
28,FEB,1957,4.9
29,FEB,1957,
30,FEB,1957,
31,FEB,1957,
1,MAR,1957,4.9
2,MAR,1957,4.9
3,MAR,1957,4.9
4,MAR,1957,4.72
5,MAR,1957,4.72
6,MAR,1957,4.72
7,MAR,1957,4.72
8,MAR,1957,4.72
9,MAR,1957,4.72
10,MAR,1957,4.72
11,MAR,1957,4.72
12,MAR,1957,4.72
13,MAR,1957,4.72
14,MAR,1957,4.72
15,MAR,1957,4.72
16,MAR,1957,4.28
17,MAR,1957,3.84
18,MAR,1957,3.84
19,MAR,1957,3.84
20,MAR,1957,3.84
21,MAR,1957,3.84
22,MAR,1957,3.84
23,MAR,1957,3.84
24,MAR,1957,3.84
25,MAR,1957,3.84
26,MAR,1957,3.76
27,MAR,1957,3.68
28,MAR,1957,3.68
29,MAR,1957,3.68
30,MAR,1957,3.68
31,MAR,1957,3.68
1,ABR,1957,3.68
2,ABR,1957,3.68
3,ABR,1957,3.52
4,ABR,1957,3.52
5,ABR,1957,3.52
6,ABR,1957,3.52
7,ABR,1957,3.52
8,ABR,1957,3.52
9,ABR,1957,3.52
10,ABR,1957,3.52
11,ABR,1957,3.52
12,ABR,1957,3.52
13,ABR,1957,3.52
14,ABR,1957,3.52
15,ABR,1957,3.36
16,ABR,1957,3.52
17,ABR,1957,3.52
18,ABR,1957,3.52
19,ABR,1957,3.52
20,ABR,1957,3.52
21,ABR,1957,3.52
22,ABR,1957,3.52
23,ABR,1957,3.36
24,ABR,1957,3.36
25,ABR,1957,3.36
26,ABR,1957,3.36
27,ABR,1957,3.36
28,ABR,1957,3.52
29,ABR,1957,3.36
30,ABR,1957,3.36
31,ABR,1957,
1,MAY,1957,2.2
2,MAY,1957,2.2
3,MAY,1957,2.2
4,MAY,1957,2.34
5,MAY,1957,2.34
6,MAY,1957,2.34
7,MAY,1957,2.2
8,MAY,1957,2.2
9,MAY,1957,2.2
10,MAY,1957,2.2
11,MAY,1957,2.94
12,MAY,1957,9.08
13,MAY,1957,4.21
14,MAY,1957,12.29
15,MAY,1957,8.43
16,MAY,1957,13.03
17,MAY,1957,7.23
18,MAY,1957,6.33
19,MAY,1957,8.89
20,MAY,1957,6.56
21,MAY,1957,4.81
22,MAY,1957,6.45
23,MAY,1957,8.51
24,MAY,1957,8.9
25,MAY,1957,8.75
26,MAY,1957,6.41
27,MAY,1957,6.22
28,MAY,1957,31.4
29,MAY,1957,7.43
30,MAY,1957,8.65
31,MAY,1957,10.4
1,JUN,1957,9.01
2,JUN,1957,7.27
3,JUN,1957,7.76
4,JUN,1957,6.75
5,JUN,1957,8.14
6,JUN,1957,6.87
7,JUN,1957,8.47
8,JUN,1957,5.8
9,JUN,1957,6.82
10,JUN,1957,5.5
11,JUN,1957,4.94
12,JUN,1957,4.9
13,JUN,1957,4.76
14,JUN,1957,4.58
15,JUN,1957,17.67
16,JUN,1957,6.56
17,JUN,1957,5.15
18,JUN,1957,4.81
19,JUN,1957,4.34
20,JUN,1957,4.22
21,JUN,1957,3.96
22,JUN,1957,3.82
23,JUN,1957,4.18
24,JUN,1957,3.87
25,JUN,1957,5.1
26,JUN,1957,8.03
27,JUN,1957,8.67
28,JUN,1957,7.11
29,JUN,1957,6.26
30,JUN,1957,5.2
31,JUN,1957,
1,JUL,1957,4.94
2,JUL,1957,4.76
3,JUL,1957,4.94
4,JUL,1957,6.16
5,JUL,1957,5.42
6,JUL,1957,5.37
7,JUL,1957,5.11
8,JUL,1957,4.94
9,JUL,1957,6.6
10,JUL,1957,12.2
11,JUL,1957,7.89
12,JUL,1957,15.5
13,JUL,1957,12.7
14,JUL,1957,9.58
15,JUL,1957,8.97
16,JUL,1957,8.04
17,JUL,1957,12.4
18,JUL,1957,10.81
19,JUL,1957,7.73
20,JUL,1957,7.73
21,JUL,1957,10.3
22,JUL,1957,11.6
23,JUL,1957,8.96
24,JUL,1957,7.55
25,JUL,1957,7.27
26,JUL,1957,26.45
27,JUL,1957,12.01
28,JUL,1957,8.31
29,JUL,1957,11.48
30,JUL,1957,19.3
31,JUL,1957,7.92
1,AGO,1957,6.56
2,AGO,1957,7.17
3,AGO,1957,14.19
4,AGO,1957,7.04
5,AGO,1957,9.9
6,AGO,1957,9.38
7,AGO,1957,45.11
8,AGO,1957,17.86
9,AGO,1957,10.1
10,AGO,1957,8.65
11,AGO,1957,7.82
12,AGO,1957,7.46
13,AGO,1957,7.09
14,AGO,1957,6.7
15,AGO,1957,11.65
16,AGO,1957,17.2
17,AGO,1957,6.3
18,AGO,1957,6.6
19,AGO,1957,6.1
20,AGO,1957,7.01
21,AGO,1957,5.94
22,AGO,1957,5.62
23,AGO,1957,5.62
24,AGO,1957,5.46
25,AGO,1957,5.3
26,AGO,1957,5.3
27,AGO,1957,7.5
28,AGO,1957,6.45
29,AGO,1957,8.03
30,AGO,1957,6.89
31,AGO,1957,5.62
1,SET,1957,5.46
2,SET,1957,10.71
3,SET,1957,13.53
4,SET,1957,23.53
5,SET,1957,13.52
6,SET,1957,15.22
7,SET,1957,11.06
8,SET,1957,7.95
9,SET,1957,11.39
10,SET,1957,11.55
11,SET,1957,11.9
